Time,Temperature_C,Solar_W_m2,Wind_Speed_m_s,Load_kW,Price_CNY_kWh
2024-01-02 04:30:00,-3.33,0.0,3.1,12519.096,0.301
2024-01-02 04:45:00,-3.04,0.0,3.8,11817.874,0.298
2024-01-02 05:00:00,-2.09,0.0,4.5,11390.003,0.295
2024-01-02 05:15:00,-1.78,0.0,3.7,10953.737,0.298
2024-01-02 05:30:00,-2.02,0.0,3.0,10481.735,0.291
2024-01-02 05:45:00,-2.39,0.0,2.4,9636.916,0.291
2024-01-02 06:00:00,-3.22,0.0,1.7,9403.881,0.286
2024-01-02 06:15:00,-1.18,80.7,3.0,9282.472,0.376
2024-01-02 06:30:00,-1.47,165.7,3.9,9024.029,0.468
2024-01-02 06:45:00,-0.95,254.8,5.1,9089.55,0.559
2024-01-02 07:00:00,1.43,293.1,6.5,8330.578,0.655
2024-01-02 07:15:00,1.18,338.7,6.6,8619.884,0.655
2024-01-02 07:30:00,0.61,382.9,6.7,8578.251,0.648
2024-01-02 07:45:00,-1.04,419.9,6.6,8559.696,0.65
2024-01-02 08:00:00,-1.11,441.8,6.8,8616.062,0.652
2024-01-02 08:15:00,-0.16,551.6,5.8,9166.862,0.648
2024-01-02 08:30:00,-0.16,731.5,5.2,9459.636,0.641
2024-01-02 08:45:00,1.11,740.3,4.3,10403.506,0.653
2024-01-02 09:00:00,0.22,915.1,3.9,10663.616,0.632
2024-01-02 09:15:00,1.73,986.5,4.4,11206.721,0.778
2024-01-02 09:30:00,2.38,961.4,5.0,11345.307,0.919
2024-01-02 09:45:00,4.08,1004.5,5.2,12170.551,1.045
2024-01-02 10:00:00,3.77,1052.8,5.6,12199.027,1.186
2024-01-02 10:15:00,4.64,1139.1,5.7,13220.783,1.184
2024-01-02 10:30:00,4.37,1168.2,6.2,14362.023,1.177
2024-01-02 10:45:00,4.21,1155.3,6.2,16015.542,1.194
2024-01-02 11:00:00,5.44,1340.3,6.4,16273.333,1.192
2024-01-02 11:15:00,4.96,1191.3,5.8,16926.073,1.181
2024-01-02 11:30:00,6.16,1305.7,5.0,17643.011,1.211
2024-01-02 11:45:00,6.17,1281.6,4.2,18443.642,1.2
2024-01-02 12:00:00,7.42,1225.5,3.7,18442.556,1.198
2024-01-02 12:15:00,7.03,1047.3,3.3,18021.105,1.203
2024-01-02 12:30:00,6.48,811.3,3.2,17512.291,1.211
2024-01-02 12:45:00,4.25,469.1,3.3,17844.381,1.185
2024-01-02 13:00:00,4.64,255.8,2.9,18589.668,1.212
2024-01-02 13:15:00,6.01,476.1,4.6,17111.434,1.19
2024-01-02 13:30:00,6.53,753.6,5.6,15762.491,1.189
2024-01-02 13:45:00,7.53,1043.9,7.3,16169.687,1.214
2024-01-02 14:00:00,7.73,1238.0,8.8,14737.685,1.219
2024-01-02 14:15:00,6.26,1166.8,7.5,14857.452,1.064
2024-01-02 14:30:00,6.03,1146.2,6.8,14265.112,0.915
2024-01-02 14:45:00,5.01,969.9,6.0,14340.062,0.774
2024-01-02 15:00:00,4.22,1002.9,4.9,14314.373,0.636
2024-01-02 15:15:00,4.23,1060.3,5.2,13887.843,0.637
2024-01-02 15:30:00,4.48,948.5,5.2,12957.768,0.643
2024-01-02 15:45:00,5.75,864.5,5.5,12416.616,0.64
2024-01-02 16:00:00,5.5,910.1,5.3,11813.493,0.652
2024-01-02 16:15:00,5.18,821.2,4.6,11261.29,0.637
2024-01-02 16:30:00,5.65,760.8,3.4,10817.722,0.651
2024-01-02 16:45:00,5.52,672.8,2.6,10429.053,0.648
2024-01-02 17:00:00,5.31,597.8,1.6,9601.375,0.64
2024-01-02 17:15:00,5.11,485.8,2.6,8972.276,0.77
2024-01-02 17:30:00,5.76,427.3,3.4,8020.453,0.931
2024-01-02 17:45:00,6.84,340.5,4.3,7222.707,1.057
2024-01-02 18:00:00,7.36,249.7,5.3,6326.51,1.198
2024-01-02 18:15:00,6.75,201.4,5.2,7140.24,1.192
2024-01-02 18:30:00,6.13,128.2,5.1,7417.001,1.212
2024-01-02 18:45:00,5.7,64.3,4.5,8224.447,1.201
2024-01-02 19:00:00,6.9,0.0,4.5,8855.649,1.186
2024-01-02 19:15:00,6.16,0.0,4.0,9288.722,1.195
2024-01-02 19:30:00,4.7,0.0,3.2,10079.734,1.204
2024-01-02 19:45:00,4.09,0.0,2.6,10918.999,1.212
2024-01-02 20:00:00,3.55,0.0,2.0,11238.898,1.183
2024-01-02 20:15:00,3.48,0.0,3.2,11250.074,1.048
2024-01-02 20:30:00,4.27,0.0,4.3,10568.978,0.93
2024-01-02 20:45:00,3.53,0.0,5.4,9802.944,0.801
2024-01-02 21:00:00,4.48,0.0,6.9,9445.175,0.651
2024-01-02 21:15:00,2.9,0.0,5.4,9104.379,0.657
2024-01-02 21:30:00,1.98,0.0,4.3,9095.26,0.661
2024-01-02 21:45:00,1.69,0.0,3.3,9029.617,0.646
2024-01-02 22:00:00,-0.63,0.0,2.0,8852.947,0.646
2024-01-02 22:15:00,0.77,0.0,3.5,8854.771,0.571
2024-01-02 22:30:00,1.29,0.0,5.0,8345.997,0.487
2024-01-02 22:45:00,2.27,0.0,6.8,8189.936,0.393
2024-01-02 23:00:00,2.95,0.0,7.9,8271.966,0.304
2024-01-02 23:15:00,1.22,0.0,7.5,8629.434,0.304
2024-01-02 23:30:00,-0.06,0.0,7.1,9111.332,0.305
2024-01-02 23:45:00,-3.69,0.0,6.0,9616.225,0.305
2024-01-03 00:00:00,-5.39,0.0,5.8,10088.369,0.302
2024-01-03 00:15:00,-3.93,0.0,5.3,9958.791,0.3
2024-01-03 00:30:00,-2.88,0.0,5.8,9682.14,0.302
2024-01-03 00:45:00,-2.39,0.0,5.3,9234.425,0.301
2024-01-03 01:00:00,-2.23,0.0,5.0,9240.859,0.305
2024-01-03 01:15:00,-2.7,0.0,5.5,8920.297,0.309
2024-01-03 01:30:00,-1.4,0.0,6.1,9082.698,0.309
2024-01-03 01:45:00,-1.57,0.0,6.3,8571.996,0.309
2024-01-03 02:00:00,-2.23,0.0,6.9,8551.153,0.308
2024-01-03 02:15:00,-2.77,0.0,6.6,9589.876,0.305
2024-01-03 02:30:00,-4.8,0.0,6.1,10824.557,0.299
2024-01-03 02:45:00,-5.1,0.0,5.0,12166.015,0.296
2024-01-03 03:00:00,-7.2,0.0,4.5,13200.068,0.295
2024-01-03 03:15:00,-4.62,0.0,5.5,12797.994,0.295
2024-01-03 03:30:00,-4.1,0.0,7.5,12127.582,0.291
2024-01-03 03:45:00,-1.78,0.0,8.1,12427.533,0.294
2024-01-03 04:00:00,-0.2,0.0,10.1,12066.643,0.291
2024-01-03 04:15:00,-0.69,0.0,8.3,12117.567,0.298
2024-01-03 04:30:00,-2.27,0.0,6.1,11923.379,0.3
2024-01-03 04:45:00,-2.23,0.0,4.4,12368.754,0.3
2024-01-03 05:00:00,-3.95,0.0,2.6,12378.906,0.304
2024-01-03 05:15:00,-2.32,0.0,2.3,11017.566,0.308
2024-01-03 05:30:00,-1.02,0.0,2.2,10550.355,0.296
2024-01-03 05:45:00,0.2,0.0,1.9,9220.596,0.299
2024-01-03 06:00:00,1.67,0.0,1.6,8458.954,0.294
2024-01-03 06:15:00,1.32,59.3,3.1,8481.379,0.385
2024-01-03 06:30:00,2.34,131.2,4.1,8443.746,0.469
2024-01-03 06:45:00,1.31,189.1,5.7,7856.578,0.557
2024-01-03 07:00:00,2.36,230.9,7.5,7871.632,0.646
2024-01-03 07:15:00,2.39,353.4,7.1,7520.784,0.647
2024-01-03 07:30:00,1.63,417.0,6.8,8066.211,0.642
2024-01-03 07:45:00,3.08,516.2,6.7,7930.29,0.643
2024-01-03 08:00:00,2.65,684.5,5.8,7646.023,0.657
2024-01-03 08:15:00,3.12,639.0,5.0,8924.709,0.67
2024-01-03 08:30:00,1.15,736.5,4.8,9320.271,0.663
2024-01-03 08:45:00,2.08,828.5,4.1,10162.031,0.656
2024-01-03 09:00:00,1.88,774.0,3.4,10888.241,0.66
2024-01-03 09:15:00,2.01,876.9,3.5,11142.622,0.785
2024-01-03 09:30:00,2.25,866.5,3.2,11964.575,0.931
2024-01-03 09:45:00,2.27,780.2,3.1,12268.28,1.098
2024-01-03 10:00:00,3.63,873.3,3.2,13032.993,1.197
2024-01-03 10:15:00,3.66,767.2,3.9,14426.065,1.211
2024-01-03 10:30:00,3.04,572.8,4.6,15526.808,1.231
2024-01-03 10:45:00,2.89,412.5,5.6,15958.46,1.202
2024-01-03 11:00:00,3.17,248.9,6.3,17529.034,1.212
2024-01-03 11:15:00,3.15,510.5,5.7,17071.864,1.189
2024-01-03 11:30:00,3.36,852.4,5.7,18387.529,1.22
2024-01-03 11:45:00,4.21,1158.2,4.7,18227.374,1.187
2024-01-03 12:00:00,4.7,1214.0,4.5,19299.824,1.195
2024-01-03 12:15:00,4.25,1326.3,4.0,18968.207,1.187
2024-01-03 12:30:00,5.18,1368.4,3.9,18095.737,1.187
2024-01-03 12:45:00,5.43,1358.2,3.6,18345.603,1.209
2024-01-03 13:00:00,5.79,1223.8,3.5,18237.337,1.186
2024-01-03 13:15:00,6.66,1176.9,3.8,15998.133,1.187
2024-01-03 13:30:00,7.13,1145.7,3.9,15688.865,1.171
2024-01-03 13:45:00,6.9,1099.9,4.2,15853.572,1.198
2024-01-03 14:00:00,7.64,927.8,4.6,14882.813,1.216
2024-01-03 14:15:00,8.6,890.1,3.9,14623.44,1.052
2024-01-03 14:30:00,9.08,916.5,3.4,13523.735,0.926
2024-01-03 14:45:00,10.38,884.1,2.6,13786.767,0.785
2024-01-03 15:00:00,11.9,888.5,1.8,13437.638,0.622
2024-01-03 15:15:00,10.5,819.2,3.3,13275.943,0.655
2024-01-03 15:30:00,8.93,785.7,4.8,12588.109,0.654
2024-01-03 15:45:00,6.34,742.4,6.1,12806.044,0.654
2024-01-03 16:00:00,4.47,640.4,7.7,12165.859,0.641
2024-01-03 16:15:00,4.71,639.7,7.2,11695.636,0.654
2024-01-03 16:30:00,4.47,629.3,7.0,10899.507,0.659
2024-01-03 16:45:00,5.64,636.7,6.9,9869.559,0.661
2024-01-03 17:00:00,4.66,578.9,6.4,9445.611,0.655
2024-01-03 17:15:00,4.04,538.5,8.5,9241.504,0.8
2024-01-03 17:30:00,5.26,434.2,10.6,8510.469,0.941
2024-01-03 17:45:00,4.4,359.2,12.2,8290.354,1.08
2024-01-03 18:00:00,2.87,296.8,15.2,7715.04,1.198
2024-01-03 18:15:00,5.12,233.7,11.5,8271.914,1.214
2024-01-03 18:30:00,4.28,155.2,9.4,8650.679,1.19
2024-01-03 18:45:00,5.52,78.1,7.3,9304.878,1.195
2024-01-03 19:00:00,5.47,0.0,5.0,9335.408,1.196
2024-01-03 19:15:00,5.46,0.0,5.7,9917.079,1.209
2024-01-03 19:30:00,2.52,0.0,6.4,10343.333,1.21
2024-01-03 19:45:00,1.53,0.0,7.1,10850.402,1.2
2024-01-03 20:00:00,0.54,0.0,7.9,11678.798,1.201
2024-01-03 20:15:00,1.84,0.0,8.8,11164.76,1.068
2024-01-03 20:30:00,3.28,0.0,10.1,10467.764,0.942
2024-01-03 20:45:00,3.78,0.0,12.4,9651.036,0.814
2024-01-03 21:00:00,5.07,0.0,13.3,9552.781,0.656
2024-01-03 21:15:00,3.37,0.0,11.6,9465.439,0.651
2024-01-03 21:30:00,1.75,0.0,10.0,8918.973,0.656
2024-01-03 21:45:00,1.01,0.0,8.4,8706.557,0.664
2024-01-03 22:00:00,-0.32,0.0,6.6,8455.879,0.669
2024-01-03 22:15:00,-0.8,0.0,6.2,8878.353,0.572
2024-01-03 22:30:00,-0.43,0.0,6.1,8719.294,0.494
2024-01-03 22:45:00,0.71,0.0,5.8,8980.27,0.391
2024-01-03 23:00:00,0.22,0.0,5.6,9374.42,0.31
2024-01-03 23:15:00,-0.72,0.0,4.5,9175.602,0.303
2024-01-03 23:30:00,-0.92,0.0,3.4,9440.889,0.298
2024-01-03 23:45:00,-1.84,0.0,2.3,9644.229,0.297
2024-01-04 00:00:00,-2.59,0.0,1.3,9451.809,0.295
2024-01-04 00:15:00,-3.04,0.0,2.3,9331.958,0.299
2024-01-04 00:30:00,-2.86,0.0,3.4,9563.166,0.295
2024-01-04 00:45:00,-2.8,0.0,4.3,9513.276,0.295
2024-01-04 01:00:00,-2.87,0.0,5.3,9929.156,0.3
2024-01-04 01:15:00,-2.27,0.0,6.6,9134.063,0.3
2024-01-04 01:30:00,-1.27,0.0,7.4,9175.572,0.299
2024-01-04 01:45:00,0.6,0.0,8.5,8531.139,0.306
2024-01-04 02:00:00,0.99,0.0,10.1,8037.457,0.31
2024-01-04 02:15:00,-0.51,0.0,8.5,9204.537,0.302
2024-01-04 02:30:00,-1.4,0.0,6.8,10204.794,0.302
2024-01-04 02:45:00,-3.05,0.0,5.3,11419.295,0.294
2024-01-04 03:00:00,-3.68,0.0,3.4,12313.765,0.289
2024-01-04 03:15:00,-2.55,0.0,5.5,13084.737,0.283
2024-01-04 03:30:00,-3.18,0.0,6.5,12478.787,0.292
2024-01-04 03:45:00,-2.9,0.0,8.1,12760.29,0.297
2024-01-04 04:00:00,-3.93,0.0,9.9,12791.876,0.303
2024-01-04 04:15:00,-3.13,0.0,8.1,12392.295,0.303
2024-01-04 04:30:00,-2.26,0.0,6.2,12658.886,0.306
2024-01-04 04:45:00,-0.35,0.0,4.6,11554.509,0.308
2024-01-04 05:00:00,0.11,0.0,2.6,11106.596,0.301
2024-01-04 05:15:00,-0.22,0.0,4.3,10469.948,0.309
2024-01-04 05:30:00,-0.41,0.0,5.6,10229.416,0.308
2024-01-04 05:45:00,-1.04,0.0,7.3,9602.8,0.31
2024-01-04 06:00:00,-1.21,0.0,9.2,8876.27,0.306
2024-01-04 06:15:00,-0.35,15.3,7.9,8758.042,0.388
2024-01-04 06:30:00,-0.63,31.8,7.0,8641.68,0.476
2024-01-04 06:45:00,-0.63,49.0,6.2,8709.785,0.559
2024-01-04 07:00:00,-0.24,66.3,4.6,8666.661,0.653
2024-01-04 07:15:00,-0.57,192.1,4.1,8393.938,0.655
2024-01-04 07:30:00,-1.09,305.2,3.6,8850.044,0.655
2024-01-04 07:45:00,-0.17,499.7,3.3,8990.508,0.654
2024-01-04 08:00:00,-1.22,582.7,2.7,8867.106,0.652
2024-01-04 08:15:00,-0.23,711.0,2.7,9231.682,0.653
2024-01-04 08:30:00,1.0,705.0,2.6,9674.691,0.645
2024-01-04 08:45:00,1.7,804.3,2.6,10175.604,0.66
2024-01-04 09:00:00,1.21,872.5,2.4,10731.192,0.642
2024-01-04 09:15:00,1.73,884.8,3.1,11453.346,0.787
2024-01-04 09:30:00,2.93,1012.0,3.3,11515.42,0.924
2024-01-04 09:45:00,2.17,1064.5,3.9,12437.287,1.058
2024-01-04 10:00:00,2.02,1061.9,4.6,12553.674,1.194
2024-01-04 10:15:00,2.96,1142.4,5.4,13911.535,1.197
2024-01-04 10:30:00,3.77,1058.0,6.6,14437.44,1.217
2024-01-04 10:45:00,5.81,1125.4,8.0,15445.203,1.211
2024-01-04 11:00:00,7.54,1314.6,8.8,16305.107,1.226
2024-01-04 11:15:00,6.41,1260.3,8.0,16803.68,1.206
2024-01-04 11:30:00,6.09,1253.6,7.2,17276.637,1.206
2024-01-04 11:45:00,5.52,1229.7,5.9,17737.347,1.198
2024-01-04 12:00:00,5.25,1260.7,5.2,18606.951,1.208
2024-01-04 12:15:00,4.16,1246.3,4.3,18289.255,1.208
2024-01-04 12:30:00,5.38,1303.9,3.7,17955.972,1.21
2024-01-04 12:45:00,5.48,1231.1,3.2,18098.433,1.219
2024-01-04 13:00:00,7.48,1280.1,2.6,17890.072,1.175
2024-01-04 13:15:00,7.99,1266.2,4.5,17505.212,1.218
2024-01-04 13:30:00,9.07,1188.7,6.1,15718.573,1.197
2024-01-04 13:45:00,8.85,1291.1,8.0,15414.235,1.219
2024-01-04 14:00:00,9.55,1170.3,9.5,13945.491,1.231
2024-01-04 14:15:00,8.96,1233.9,8.2,13866.333,1.076
2024-01-04 14:30:00,7.83,1205.7,7.2,13738.282,0.939
2024-01-04 14:45:00,6.68,1110.3,5.8,13570.466,0.792
2024-01-04 15:00:00,7.96,1059.8,4.1,13704.888,0.66
2024-01-04 15:15:00,6.69,925.1,3.6,13376.115,0.662
2024-01-04 15:30:00,5.36,950.2,2.6,12806.744,0.662
2024-01-04 15:45:00,5.83,945.8,1.7,12464.982,0.645
2024-01-04 16:00:00,4.45,855.4,0.8,13073.504,0.638
2024-01-04 16:15:00,4.24,789.9,2.1,11925.601,0.652
2024-01-04 16:30:00,3.75,689.6,3.4,11492.4,0.651
2024-01-04 16:45:00,4.02,535.0,4.6,10931.487,0.653
2024-01-04 17:00:00,4.47,461.8,5.8,10273.223,0.641
2024-01-04 17:15:00,5.06,370.4,5.6,9451.334,0.779
2024-01-04 17:30:00,5.37,287.9,5.2,9084.927,0.932
2024-01-04 17:45:00,4.24,157.0,5.4,8202.023,1.076
2024-01-04 18:00:00,5.56,62.2,5.2,7297.635,1.194
2024-01-04 18:15:00,5.38,48.1,6.0,7914.879,1.199
2024-01-04 18:30:00,6.08,29.8,6.9,8467.582,1.198
2024-01-04 18:45:00,5.98,15.7,8.4,8979.382,1.201
2024-01-04 19:00:00,7.45,0.0,9.7,9163.661,1.202
2024-01-04 19:15:00,6.24,0.0,7.5,9979.624,1.196
2024-01-04 19:30:00,4.23,0.0,5.3,10638.964,1.198
2024-01-04 19:45:00,3.53,0.0,3.4,11238.232,1.187
2024-01-04 20:00:00,1.42,0.0,1.4,11351.827,1.181
2024-01-04 20:15:00,1.27,0.0,2.8,11790.79,1.064
2024-01-04 20:30:00,1.97,0.0,4.2,11605.165,0.924
2024-01-04 20:45:00,0.74,0.0,5.7,11072.843,0.776
2024-01-04 21:00:00,1.38,0.0,6.8,10842.598,0.651
2024-01-04 21:15:00,1.85,0.0,7.5,10144.062,0.651
2024-01-04 21:30:00,1.94,0.0,8.3,9306.656,0.651
2024-01-04 21:45:00,1.0,0.0,8.7,8221.311,0.644
2024-01-04 22:00:00,1.09,0.0,9.2,7286.737,0.642
2024-01-04 22:15:00,0.93,0.0,9.4,8230.704,0.561
2024-01-04 22:30:00,-0.49,0.0,8.5,8405.647,0.471
2024-01-04 22:45:00,-0.08,0.0,8.5,8929.979,0.397
2024-01-04 23:00:00,-1.34,0.0,7.6,9608.622,0.306
2024-01-04 23:15:00,-0.23,0.0,7.1,8716.507,0.307
2024-01-04 23:30:00,0.25,0.0,6.1,8258.427,0.309
2024-01-04 23:45:00,1.87,0.0,5.0,7746.101,0.303
2024-01-05 00:00:00,3.17,0.0,4.2,7123.364,0.303
2024-01-05 00:15:00,1.34,0.0,5.4,7699.507,0.303
2024-01-05 00:30:00,-0.16,0.0,6.3,7881.887,0.309
2024-01-05 00:45:00,-1.68,0.0,7.6,8801.358,0.301
2024-01-05 01:00:00,-3.11,0.0,8.4,9261.267,0.299
2024-01-05 01:15:00,-3.28,0.0,8.9,9573.29,0.302
2024-01-05 01:30:00,-3.39,0.0,8.6,9957.666,0.298
2024-01-05 01:45:00,-4.03,0.0,8.8,10128.843,0.294
2024-01-05 02:00:00,-3.45,0.0,8.7,10339.173,0.298
2024-01-05 02:15:00,-4.0,0.0,7.8,10117.729,0.298
2024-01-05 02:30:00,-2.65,0.0,6.9,10840.177,0.299
2024-01-05 02:45:00,-2.47,0.0,5.5,11052.945,0.301
2024-01-05 03:00:00,-2.33,0.0,4.9,10753.357,0.294
2024-01-05 03:15:00,-4.36,0.0,5.1,12127.22,0.299
2024-01-05 03:30:00,-5.26,0.0,5.3,12562.022,0.304
2024-01-05 03:45:00,-7.32,0.0,5.7,13207.39,0.303
2024-01-05 04:00:00,-8.97,0.0,5.9,13866.765,0.309
2024-01-05 04:15:00,-7.44,0.0,6.6,13489.149,0.299
