Time,Temperature_C,Solar_W_m2,Wind_Speed_m_s,Price_CNY_kWh,Load_kW,Date,Day_Label,Day_Index
2023-01-02 00:00:00,-1.29,0.0,2.2,0.303,8882.673333,2023-01-02,0,1
2023-01-02 01:00:00,-1.58,0.0,10.8,0.296,9264.823333,2023-01-02,0,1
2023-01-02 02:00:00,-6.03,0.0,6.7,0.298,10629.49333,2023-01-02,0,1
2023-01-02 03:00:00,-9.24,0.0,6.5,0.298,12997.47667,2023-01-02,0,1
2023-01-02 04:00:00,-4.47,0.0,1.7,0.301,12934.24333,2023-01-02,0,1
2023-01-02 05:00:00,-2.1,0.0,4.4,0.295,11374.69,2023-01-02,0,1
2023-01-02 06:00:00,-2.85,0.0,1.7,0.29,9205.91,2023-01-02,0,1
2023-01-02 07:00:00,1.0,309.45,6.3,0.65,8471.25,2023-01-02,0,1
2023-01-02 08:00:00,-1.12,480.74,6.6,0.643,8596.036667,2023-01-02,0,1
2023-01-02 09:00:00,0.93,857.47,3.9,0.641,10789.39333,2023-01-02,0,1
2023-01-02 10:00:00,3.99,1064.19,5.7,1.197,12009.39333,2023-01-02,0,1
2023-01-02 11:00:00,4.73,1209.05,6.2,1.192,16486.08333,2023-01-02,0,1
2023-01-02 12:00:00,6.85,1283.65,3.7,1.196,18438.17,2023-01-02,0,1
2023-01-02 13:00:00,4.78,256.73,3.1,1.205,17901.18667,2023-01-02,0,1
2023-01-02 14:00:00,8.44,1209.05,8.4,1.206,14551.42333,2023-01-02,0,1
2023-01-02 15:00:00,3.31,1064.19,4.9,0.64,14213.50667,2023-01-02,0,1
2023-01-02 16:00:00,5.77,857.47,5.5,0.641,12247.94667,2023-01-02,0,1
2023-01-02 17:00:00,5.18,600.92,1.6,0.648,9767.843333,2023-01-02,0,1
2023-01-02 18:00:00,7.31,247.56,5.4,1.196,6212.96,2023-01-02,0,1
2023-01-02 19:00:00,6.43,0.0,4.6,1.199,8824.786667,2023-01-02,0,1
2023-01-02 20:00:00,3.65,0.0,2.0,1.197,11550.33333,2023-01-02,0,1
2023-01-02 21:00:00,4.32,0.0,6.5,0.66,9265.193333,2023-01-02,0,1
2023-01-02 22:00:00,-0.28,0.0,2.1,0.648,9009.083333,2023-01-02,0,1
2023-01-02 23:00:00,3.11,0.0,8.0,0.305,8255.123333,2023-01-02,0,1
2023-01-03 00:00:00,-4.84,0.0,5.7,0.302,10109.24667,2023-01-03,0,2
2023-01-03 01:00:00,-2.62,0.0,5.1,0.302,8979.493333,2023-01-03,0,2
2023-01-03 02:00:00,-1.28,0.0,7.1,0.308,8716.236667,2023-01-03,0,2
2023-01-03 03:00:00,-6.62,0.0,4.4,0.294,12922.54,2023-01-03,0,2
2023-01-03 04:00:00,-0.29,0.0,9.9,0.294,12006.15,2023-01-03,0,2
2023-01-03 05:00:00,-3.67,0.0,2.6,0.309,12178.68667,2023-01-03,0,2
2023-01-03 06:00:00,1.33,0.0,1.6,0.293,8541.523333,2023-01-03,0,2
2023-01-03 07:00:00,1.64,247.34,7.3,0.652,7883.863333,2023-01-03,0,2
2023-01-03 08:00:00,2.93,600.39,6.0,0.655,7905.113333,2023-01-03,0,2
2023-01-03 09:00:00,1.72,856.71,3.4,0.659,10825.10333,2023-01-03,0,2
2023-01-03 10:00:00,3.39,850.59,3.1,1.203,12817.89,2023-01-03,0,2
2023-01-03 11:00:00,2.62,241.6,6.3,1.202,17530.79,2023-01-03,0,2
2023-01-03 12:00:00,3.42,1282.52,4.3,1.196,19169.06333,2023-01-03,0,2
2023-01-03 13:00:00,6.16,1282.52,3.7,1.205,17687.35667,2023-01-03,0,2
2023-01-03 14:00:00,7.44,966.38,4.6,1.197,14852.41667,2023-01-03,0,2
2023-01-03 15:00:00,11.48,850.59,1.9,0.642,13115.00667,2023-01-03,0,2
2023-01-03 16:00:00,4.68,685.37,7.7,0.657,12281.61333,2023-01-03,0,2
2023-01-03 17:00:00,5.03,600.39,6.4,0.659,9307.393333,2023-01-03,0,2
2023-01-03 18:00:00,4.32,309.18,14.5,1.206,7806.866667,2023-01-03,0,2
2023-01-03 19:00:00,5.91,0.0,5.0,1.209,9463.166667,2023-01-03,0,2
2023-01-03 20:00:00,0.82,0.0,7.5,1.204,11508.44333,2023-01-03,0,2
2023-01-03 21:00:00,4.98,0.0,13.4,0.65,9406.25,2023-01-03,0,2
2023-01-03 22:00:00,-0.51,0.0,6.7,0.659,8526.463333,2023-01-03,0,2
2023-01-03 23:00:00,-0.07,0.0,5.5,0.306,9208.06,2023-01-03,0,2
2023-01-04 00:00:00,-2.22,0.0,1.3,0.297,9346.573333,2023-01-04,0,3
2023-01-04 01:00:00,-2.46,0.0,5.3,0.299,9800.183333,2023-01-04,0,3
2023-01-04 02:00:00,1.36,0.0,10.1,0.308,8117.176667,2023-01-04,0,3
2023-01-04 03:00:00,-3.05,0.0,3.6,0.291,12371.64,2023-01-04,0,3
2023-01-04 04:00:00,-3.4,0.0,9.4,0.303,13087.98,2023-01-04,0,3
2023-01-04 05:00:00,0.35,0.0,2.6,0.307,10862.68667,2023-01-04,0,3
2023-01-04 06:00:00,-0.97,0.0,9.2,0.307,8986.876667,2023-01-04,0,3
2023-01-04 07:00:00,-1.17,61.78,4.7,0.65,8414.58,2023-01-04,0,3
2023-01-04 08:00:00,-0.18,599.82,2.6,0.653,9059.726667,2023-01-04,0,3
2023-01-04 09:00:00,2.03,855.89,2.5,0.652,10712.09,2023-01-04,0,3
2023-01-04 10:00:00,2.17,1062.23,4.4,1.205,12743.53,2023-01-04,0,3
2023-01-04 11:00:00,6.52,1206.83,9.1,1.204,16318.4,2023-01-04,0,3
2023-01-04 12:00:00,4.78,1281.29,4.9,1.206,18447.22667,2023-01-04,0,3
2023-01-04 13:00:00,6.14,1281.29,2.6,1.197,18007.47,2023-01-04,0,3
2023-01-04 14:00:00,9.45,1206.83,9.6,1.2,14083.34,2023-01-04,0,3
2023-01-04 15:00:00,7.13,1062.23,4.4,0.658,13639.05667,2023-01-04,0,3
2023-01-04 16:00:00,4.57,855.89,0.8,0.65,12516.92667,2023-01-04,0,3
2023-01-04 17:00:00,4.63,479.86,5.9,0.652,10180.30333,2023-01-04,0,3
2023-01-04 18:00:00,5.05,61.78,5.1,1.207,7490.83,2023-01-04,0,3
2023-01-04 19:00:00,7.66,0.0,9.3,1.199,9423.83,2023-01-04,0,3
2023-01-04 20:00:00,1.48,0.0,1.4,1.196,11744.92667,2023-01-04,0,3
2023-01-04 21:00:00,1.7,0.0,6.8,0.648,10715.45,2023-01-04,0,3
2023-01-04 22:00:00,1.56,0.0,9.3,0.644,7496.843333,2023-01-04,0,3
2023-01-04 23:00:00,-1.21,0.0,7.9,0.306,9365.16,2023-01-04,0,3
2023-01-05 00:00:00,2.84,0.0,4.2,0.305,7327.223333,2023-01-05,3,4
2023-01-05 01:00:00,-3.42,0.0,8.5,0.3,9333.03,2023-01-05,3,4
2023-01-05 02:00:00,-3.97,0.0,8.5,0.3,10184.71,2023-01-05,3,4
2023-01-05 03:00:00,-2.7,0.0,4.7,0.299,11145.70667,2023-01-05,3,4
2023-01-05 04:00:00,-8.81,0.0,6.0,0.306,13931.03333,2023-01-05,3,4
2023-01-05 05:00:00,-0.81,0.0,7.5,0.3,11611.94333,2023-01-05,3,4
2023-01-05 06:00:00,-2.12,0.0,12.4,0.296,9007.293333,2023-01-05,3,4
2023-01-05 07:00:00,-0.69,308.57,7.0,0.652,8829.033333,2023-01-05,3,4
2023-01-05 08:00:00,4.24,479.37,3.8,0.652,7506.02,2023-01-05,3,4
2023-01-05 09:00:00,-0.26,684.02,7.8,0.644,11390.06,2023-01-05,3,4
2023-01-05 10:00:00,2.09,848.91,2.6,1.194,12662.42,2023-01-05,3,4
2023-01-05 11:00:00,4.86,964.48,4.8,1.199,16701.68333,2023-01-05,3,4
2023-01-05 12:00:00,5.5,1279.98,10.1,1.195,18134.80667,2023-01-05,3,4
2023-01-05 13:00:00,5.47,1279.98,4.6,1.203,17511.89,2023-01-05,3,4
2023-01-05 14:00:00,5.85,1205.6,4.9,1.203,14930.37,2023-01-05,3,4
2023-01-05 15:00:00,4.93,1061.14,9.0,0.652,14324.41,2023-01-05,3,4
2023-01-05 16:00:00,8.87,855.02,5.6,0.642,10752.91,2023-01-05,3,4
2023-01-05 17:00:00,4.2,599.21,8.8,0.657,9537.226667,2023-01-05,3,4
2023-01-05 18:00:00,4.46,308.57,8.6,1.203,7297.816667,2023-01-05,3,4
2023-01-05 19:00:00,6.68,0.0,7.4,1.201,9548.1,2023-01-05,3,4
2023-01-05 20:00:00,2.9,0.0,5.2,1.203,11220.46,2023-01-05,3,4
2023-01-05 21:00:00,-1.68,0.0,6.7,0.649,11388.86333,2023-01-05,3,4
2023-01-05 22:00:00,-0.98,0.0,2.2,0.649,9343.923333,2023-01-05,3,4
2023-01-05 23:00:00,-3.17,0.0,4.0,0.293,9215.506667,2023-01-05,3,4
2023-01-06 00:00:00,0.51,0.0,7.1,0.298,8623.533333,2023-01-06,3,5
2023-01-06 01:00:00,-3.02,0.0,5.2,0.291,9521.373333,2023-01-06,3,5
2023-01-06 02:00:00,-7.25,0.0,2.5,0.297,11557.19667,2023-01-06,3,5
2023-01-06 03:00:00,-3.87,0.0,7.1,0.294,12262.54,2023-01-06,3,5
2023-01-06 04:00:00,-2.54,0.0,4.1,0.294,12420.93,2023-01-06,3,5
2023-01-06 05:00:00,-1.84,0.0,0.9,0.298,11446.12,2023-01-06,3,5
2023-01-06 06:00:00,0.23,0.0,5.0,0.303,8577.886667,2023-01-06,3,5
2023-01-06 07:00:00,1.07,246.59,3.8,0.647,8139.216667,2023-01-06,3,5
2023-01-06 08:00:00,0.85,598.55,4.0,0.644,8092.5,2023-01-06,3,5
2023-01-06 09:00:00,-1.64,854.09,3.7,0.658,12022.74667,2023-01-06,3,5
2023-01-06 10:00:00,5.78,847.99,2.2,1.201,12291.33667,2023-01-06,3,5
2023-01-06 11:00:00,-0.09,1204.28,5.4,1.196,17755.23,2023-01-06,3,5
2023-01-06 12:00:00,8.85,1278.59,6.5,1.193,17530.98,2023-01-06,3,5
2023-01-06 13:00:00,6.06,1022.87,6.2,1.203,17600.65,2023-01-06,3,5
2023-01-06 14:00:00,6.53,1204.28,6.8,1.196,14680.33333,2023-01-06,3,5
2023-01-06 15:00:00,6.2,1059.99,11.2,0.654,13656.62667,2023-01-06,3,5
2023-01-06 16:00:00,11.05,854.09,4.4,0.646,10281.46,2023-01-06,3,5
2023-01-06 17:00:00,6.49,598.55,4.0,0.656,10039.29667,2023-01-06,3,5
2023-01-06 18:00:00,6.79,308.23,5.4,1.193,6970.28,2023-01-06,3,5
2023-01-06 19:00:00,6.1,0.0,10.6,1.192,9542.27,2023-01-06,3,5
2023-01-06 20:00:00,2.49,0.0,3.1,1.193,11755.47333,2023-01-06,3,5
2023-01-06 21:00:00,0.31,0.0,8.7,0.641,11136.18667,2023-01-06,3,5
2023-01-06 22:00:00,1.04,0.0,11.0,0.644,8612.443333,2023-01-06,3,5
2023-01-06 23:00:00,1.47,0.0,7.3,0.308,8915.773333,2023-01-06,3,5
2023-01-07 00:00:00,-1.55,0.0,5.6,0.308,9315.31,2023-01-07,3,6
2023-01-07 01:00:00,-0.78,0.0,2.1,0.296,8816.593333,2023-01-07,3,6
2023-01-07 02:00:00,-2.51,0.0,0.4,0.296,9286.436667,2023-01-07,3,6
2023-01-07 03:00:00,-4.69,0.0,3.5,0.293,12533.05667,2023-01-07,3,6
2023-01-07 04:00:00,0.6,0.0,0.6,0.304,11394.93,2023-01-07,3,6
2023-01-07 05:00:00,-1.91,0.0,6.9,0.293,11795.74,2023-01-07,3,6
2023-01-07 06:00:00,1.8,0.0,10.7,0.291,8523.993333,2023-01-07,3,6
2023-01-07 07:00:00,-2.34,307.88,3.3,0.65,9053.416667,2023-01-07,3,6
2023-01-07 08:00:00,0.98,597.86,4.3,0.648,8059.55,2023-01-07,3,6
2023-01-07 09:00:00,0.72,682.48,4.4,0.644,11600.43,2023-01-07,3,6
2023-01-07 10:00:00,2.87,1058.76,3.7,1.193,12897.22667,2023-01-07,3,6
2023-01-07 11:00:00,4.21,1202.89,5.0,1.207,16783.76667,2023-01-07,3,6
2023-01-07 12:00:00,9.65,1021.69,1.3,1.195,17864.95,2023-01-07,3,6
2023-01-07 13:00:00,6.85,255.42,7.9,1.207,17891.07,2023-01-07,3,6
2023-01-07 14:00:00,10.36,240.58,0.4,1.205,13747.23667,2023-01-07,3,6
2023-01-07 15:00:00,7.64,1058.76,5.8,0.646,13291.08667,2023-01-07,3,6
2023-01-07 16:00:00,3.44,853.1,6.0,0.642,12507.56667,2023-01-07,3,6
2023-01-07 17:00:00,6.87,597.86,2.9,0.649,9097.176667,2023-01-07,3,6
2023-01-07 18:00:00,3.51,246.3,2.2,1.207,7704.283333,2023-01-07,3,6
2023-01-07 19:00:00,0.74,0.0,2.5,1.196,11185.81333,2023-01-07,3,6
2023-01-07 20:00:00,4.32,0.0,5.9,1.193,11612.28667,2023-01-07,3,6
2023-01-07 21:00:00,0.2,0.0,7.7,0.657,10646.18,2023-01-07,3,6
2023-01-07 22:00:00,1.49,0.0,7.4,0.642,8192.926667,2023-01-07,3,6
2023-01-07 23:00:00,0.45,0.0,9.3,0.292,8932.446667,2023-01-07,3,6
2023-01-08 00:00:00,-3.68,0.0,3.7,0.304,8768.093333,2023-01-08,3,7
2023-01-08 01:00:00,-1.67,0.0,11.3,0.308,9204.48,2023-01-08,3,7
2023-01-08 02:00:00,-1.86,0.0,6.0,0.299,8341.32,2023-01-08,3,7
2023-01-08 03:00:00,-3.79,0.0,4.9,0.306,12018.36,2023-01-08,3,7
2023-01-08 04:00:00,-5.67,0.0,3.3,0.296,13016.08667,2023-01-08,3,7
2023-01-08 05:00:00,-5.12,0.0,5.3,0.301,12334.74333,2023-01-08,3,7
2023-01-08 06:00:00,-0.67,0.0,5.2,0.306,8417.886667,2023-01-08,3,7
2023-01-08 07:00:00,-1.3,307.5,4.5,0.66,9511.876667,2023-01-08,3,7
2023-01-08 08:00:00,-0.25,119.43,7.3,0.644,8361.413333,2023-01-08,3,7
2023-01-08 09:00:00,5.94,681.65,3.5,0.642,10021.02,2023-01-08,3,7
2023-01-08 10:00:00,0.32,1057.46,3.8,1.206,13671.67,2023-01-08,3,7
2023-01-08 11:00:00,6.47,1201.42,2.5,1.21,16294.17,2023-01-08,3,7
2023-01-08 12:00:00,7.65,1275.55,6.4,1.201,17966.87333,2023-01-08,3,7
2023-01-08 13:00:00,9.04,255.11,7.3,1.203,17127.65667,2023-01-08,3,7
2023-01-08 14:00:00,7.96,1201.42,7.3,1.194,13981.72,2023-01-08,3,7
2023-01-08 15:00:00,4.13,1057.46,5.4,0.642,14553.64,2023-01-08,3,7
2023-01-08 16:00:00,4.61,852.06,7.5,0.655,12662.96667,2023-01-08,3,7
2023-01-08 17:00:00,7.0,597.13,7.1,0.658,9658.406667,2023-01-08,3,7
2023-01-08 18:00:00,5.98,307.5,5.2,1.191,7775.503333,2023-01-08,3,7
2023-01-08 19:00:00,7.04,0.0,13.4,1.201,8964.82,2023-01-08,3,7
2023-01-08 20:00:00,4.32,0.0,7.9,1.197,10640.48667,2023-01-08,3,7
2023-01-08 21:00:00,2.55,0.0,4.0,0.657,10368.08333,2023-01-08,3,7
2023-01-08 22:00:00,-2.07,0.0,7.5,0.647,8736.426667,2023-01-08,3,7
2023-01-08 23:00:00,2.25,0.0,1.8,0.29,8072.873333,2023-01-08,3,7
2023-01-09 00:00:00,-4.42,0.0,2.4,0.299,10318.45667,2023-01-09,3,8
2023-01-09 01:00:00,-4.72,0.0,5.0,0.308,10057.57333,2023-01-09,3,8
2023-01-09 02:00:00,-3.05,0.0,12.1,0.301,9526.92,2023-01-09,3,8
2023-01-09 03:00:00,-4.21,0.0,3.1,0.293,12344.18,2023-01-09,3,8
2023-01-09 04:00:00,0.84,0.0,2.6,0.304,11412.62333,2023-01-09,3,8
2023-01-09 05:00:00,-3.88,0.0,3.0,0.293,12635.5,2023-01-09,3,8
2023-01-09 06:00:00,-0.19,0.0,4.5,0.309,9065.803333,2023-01-09,3,8
2023-01-09 07:00:00,-0.96,307.1,6.8,0.655,9257.723333,2023-01-09,3,8
2023-01-09 08:00:00,1.11,596.36,0.9,0.649,8368.123333,2023-01-09,3,8
2023-01-09 09:00:00,0.32,850.96,7.6,0.656,11209.15667,2023-01-09,3,8
2023-01-09 10:00:00,4.28,844.88,2.3,1.203,13081.13,2023-01-09,3,8
2023-01-09 11:00:00,4.56,239.97,7.6,1.202,16275.29333,2023-01-09,3,8
2023-01-09 12:00:00,6.37,1273.9,4.2,1.2,17668.26,2023-01-09,3,8
2023-01-09 13:00:00,8.83,1019.12,3.4,1.197,17110.75,2023-01-09,3,8
2023-01-09 14:00:00,9.34,1199.87,2.3,1.196,13995.62,2023-01-09,3,8
2023-01-09 15:00:00,6.89,1056.1,2.3,0.641,13480.12,2023-01-09,3,8
2023-01-09 16:00:00,4.91,850.96,2.6,0.65,12180.87667,2023-01-09,3,8
2023-01-09 17:00:00,6.87,596.36,2.5,0.643,8514.83,2023-01-09,3,8
2023-01-09 18:00:00,7.08,307.1,7.1,1.194,6849.08,2023-01-09,3,8
2023-01-09 19:00:00,6.82,0.0,6.2,1.193,9197.706667,2023-01-09,3,8
2023-01-09 20:00:00,2.07,0.0,3.5,1.206,11584.49667,2023-01-09,3,8
2023-01-09 21:00:00,0.01,0.0,7.1,0.658,11346.35333,2023-01-09,3,8
2023-01-09 22:00:00,3.76,0.0,3.5,0.641,8592.58,2023-01-09,3,8
2023-01-09 23:00:00,0.52,0.0,1.9,0.292,8898.64,2023-01-09,3,8
2023-01-10 00:00:00,-0.44,0.0,3.8,0.308,8643.376667,2023-01-10,3,9
2023-01-10 01:00:00,-4.31,0.0,2.1,0.297,10466.79333,2023-01-10,3,9
2023-01-10 02:00:00,-0.96,0.0,7.6,0.303,8709.246667,2023-01-10,3,9
2023-01-10 03:00:00,-5.16,0.0,4.5,0.298,12592.18333,2023-01-10,3,9
2023-01-10 04:00:00,-2.16,0.0,7.3,0.29,12784.30333,2023-01-10,3,9
2023-01-10 05:00:00,-2.49,0.0,3.7,0.292,11165.33,2023-01-10,3,9
2023-01-10 06:00:00,-2.21,0.0,3.7,0.302,9212.796667,2023-01-10,3,9
2023-01-10 07:00:00,-2.41,306.69,3.1,0.652,9844.62,2023-01-10,3,9
2023-01-10 08:00:00,0.75,595.55,8.2,0.649,8630.053333,2023-01-10,3,9
2023-01-10 09:00:00,2.68,849.8,8.2,0.653,10901.98333,2023-01-10,3,9
2023-01-10 10:00:00,4.79,1054.66,5.4,1.204,12544.88,2023-01-10,3,9
2023-01-10 11:00:00,2.85,958.59,3.1,1.21,17319.45667,2023-01-10,3,9
2023-01-10 12:00:00,4.24,1017.74,5.2,1.204,18289.46333,2023-01-10,3,9
2023-01-10 13:00:00,7.78,1272.17,6.0,1.207,17335.18667,2023-01-10,3,9
2023-01-10 14:00:00,9.19,1198.24,8.6,1.192,13892.68,2023-01-10,3,9
2023-01-10 15:00:00,7.26,1054.66,3.7,0.651,13651.82333,2023-01-10,3,9
2023-01-10 16:00:00,7.22,849.8,4.6,0.651,11679.81667,2023-01-10,3,9
2023-01-10 17:00:00,7.46,595.55,3.5,0.656,9170.603333,2023-01-10,3,9
2023-01-10 18:00:00,5.09,306.69,5.9,1.198,7169.84,2023-01-10,3,9
2023-01-10 19:00:00,5.0,0.0,3.8,1.195,9769.896667,2023-01-10,3,9
2023-01-10 20:00:00,7.72,0.0,10.7,1.206,9726.623333,2023-01-10,3,9
2023-01-10 21:00:00,2.88,0.0,5.2,0.646,11144.44333,2023-01-10,3,9
2023-01-10 22:00:00,-2.49,0.0,7.8,0.644,9194.526667,2023-01-10,3,9
2023-01-10 23:00:00,2.25,0.0,4.8,0.29,7699.403333,2023-01-10,3,9
2023-01-11 00:00:00,-0.96,0.0,7.7,0.308,8738.696667,2023-01-11,0,10
2023-01-11 01:00:00,-1.55,0.0,5.9,0.299,8874.68,2023-01-11,0,10
2023-01-11 02:00:00,-5.49,0.0,5.8,0.29,10492.59333,2023-01-11,0,10
2023-01-11 03:00:00,-1.44,0.0,3.4,0.299,11699.60667,2023-01-11,0,10
2023-01-11 04:00:00,-2.12,0.0,4.2,0.31,11956.79333,2023-01-11,0,10
2023-01-11 05:00:00,-3.22,0.0,0.6,0.293,11950.17,2023-01-11,0,10
2023-01-11 06:00:00,-1.41,0.0,8.9,0.294,9657.253333,2023-01-11,0,10
2023-01-11 07:00:00,-3.61,306.25,3.0,0.645,9228.503333,2023-01-11,0,10
2023-01-11 08:00:00,2.18,594.7,4.7,0.648,7887.39,2023-01-11,0,10
2023-01-11 09:00:00,2.27,848.59,7.8,0.654,10140.80333,2023-01-11,0,10
2023-01-11 10:00:00,2.67,1053.16,5.1,1.192,13024.12,2023-01-11,0,10
2023-01-11 11:00:00,7.7,1196.53,3.7,1.209,15244.59,2023-01-11,0,10
2023-01-11 12:00:00,1.52,254.07,2.5,1.201,19737.55667,2023-01-11,0,10
2023-01-11 13:00:00,7.93,1270.36,1.9,1.2,16897.66,2023-01-11,0,10
2023-01-11 14:00:00,6.56,957.22,6.0,1.202,15040.05,2023-01-11,0,10
2023-01-11 15:00:00,5.43,842.53,2.3,0.646,14021.93667,2023-01-11,0,10
2023-01-11 16:00:00,7.43,848.59,5.4,0.659,11451.95333,2023-01-11,0,10
2023-01-11 17:00:00,5.81,118.94,5.6,0.656,9111.34,2023-01-11,0,10
2023-01-11 18:00:00,6.5,61.25,6.6,1.205,7000.006667,2023-01-11,0,10
2023-01-11 19:00:00,1.61,0.0,9.0,1.21,10245.35333,2023-01-11,0,10
2023-01-11 20:00:00,2.5,0.0,6.0,1.202,11072.38333,2023-01-11,0,10
2023-01-11 21:00:00,0.93,0.0,2.6,0.647,11099.25667,2023-01-11,0,10
2023-01-11 22:00:00,2.22,0.0,5.4,0.645,8293.41,2023-01-11,0,10
2023-01-11 23:00:00,-0.62,0.0,3.8,0.304,8482.97,2023-01-11,0,10
2023-01-12 00:00:00,-0.98,0.0,6.9,0.308,8381.73,2023-01-12,3,11
2023-01-12 01:00:00,-2.03,0.0,6.4,0.3,8976.42,2023-01-12,3,11
2023-01-12 02:00:00,-2.66,0.0,6.8,0.302,9932.98,2023-01-12,3,11
2023-01-12 03:00:00,-0.62,0.0,3.9,0.291,11235.58333,2023-01-12,3,11
2023-01-12 04:00:00,-3.78,0.0,3.5,0.3,13394.35333,2023-01-12,3,11
2023-01-12 05:00:00,-0.72,0.0,10.8,0.305,11147.16,2023-01-12,3,11
2023-01-12 06:00:00,-1.67,0.0,3.1,0.293,9901.673333,2023-01-12,3,11
2023-01-12 07:00:00,0.35,305.79,4.8,0.652,8239.676667,2023-01-12,3,11
2023-01-12 08:00:00,2.09,593.81,6.7,0.652,8046.783333,2023-01-12,3,11
2023-01-12 09:00:00,2.51,847.32,8.9,0.646,10210.93,2023-01-12,3,11
2023-01-12 10:00:00,0.91,1051.59,0.4,1.199,13755.09333,2023-01-12,3,11
2023-01-12 11:00:00,6.8,238.95,3.4,1.201,16096.01,2023-01-12,3,11
2023-01-12 12:00:00,6.32,253.69,5.6,1.203,18364.26,2023-01-12,3,11
2023-01-12 13:00:00,4.99,1268.46,8.8,1.194,17360.23,2023-01-12,3,11
2023-01-12 14:00:00,5.37,1194.74,6.0,1.21,15221.98,2023-01-12,3,11
2023-01-12 15:00:00,8.02,1051.59,5.1,0.65,12772.56333,2023-01-12,3,11
2023-01-12 16:00:00,5.33,677.86,11.4,0.648,12525.76667,2023-01-12,3,11
2023-01-12 17:00:00,6.03,593.81,4.6,0.642,9836.233333,2023-01-12,3,11
2023-01-12 18:00:00,9.58,244.63,8.1,1.198,6221.086667,2023-01-12,3,11
2023-01-12 19:00:00,6.89,0.0,12.0,1.205,9471.076667,2023-01-12,3,11
2023-01-12 20:00:00,1.67,0.0,2.1,1.206,10983.36333,2023-01-12,3,11
2023-01-12 21:00:00,4.84,0.0,3.3,0.651,9946.26,2023-01-12,3,11
2023-01-12 22:00:00,2.72,0.0,6.6,0.647,8000.946667,2023-01-12,3,11
2023-01-12 23:00:00,-1.1,0.0,4.0,0.295,8391.14,2023-01-12,3,11
2023-01-13 00:00:00,-0.39,0.0,11.8,0.306,8157.11,2023-01-13,0,12
2023-01-13 01:00:00,-1.68,0.0,6.0,0.29,9284.163333,2023-01-13,0,12
2023-01-13 02:00:00,-3.43,0.0,8.0,0.296,9513.913333,2023-01-13,0,12
2023-01-13 03:00:00,-3.07,0.0,4.4,0.302,11527.45333,2023-01-13,0,12
2023-01-13 04:00:00,-3.9,0.0,3.9,0.294,13676.17667,2023-01-13,0,12
2023-01-13 05:00:00,-0.71,0.0,1.0,0.308,11640.34,2023-01-13,0,12
2023-01-13 06:00:00,-4.0,0.0,0.9,0.293,9671.13,2023-01-13,0,12
2023-01-13 07:00:00,-0.86,305.32,2.5,0.656,9593.73,2023-01-13,0,12
2023-01-13 08:00:00,-2.13,592.89,3.6,0.655,9373.953333,2023-01-13,0,12
2023-01-13 09:00:00,0.5,846.0,1.6,0.652,11288.72333,2023-01-13,0,12
2023-01-13 10:00:00,6.08,1049.95,6.7,1.202,12374.33,2023-01-13,0,12
2023-01-13 11:00:00,5.04,1192.88,2.5,1.21,16559.17,2023-01-13,0,12
